timestamp,ACB.h,ACB.k,CEU.h,CEU.k,MXL.h,MXL.k,overlap,unique
2/9/2024,-502.0543728,-842.3467619,1884.445487,-748.4017191,-3.395098272,396.525891,2,77
2/9/2024,-1405.737508,-932.5085479,-314.8912051,-1178.838445,-2210.130414,-119.6452223,5,48
2/9/2024,61.49492328,-1007.149605,1283.333209,147.2640755,-573.0602516,643.9689124,4,75
2/9/2024,371.1677513,-609.8204246,-660.5875293,-344.2777552,141.4076354,-60.71760982,30,44
2/9/2024,-391.8913066,-580.7613214,224.9111799,129.7131793,-1439.860535,1532.019497,3,69
2/9/2024,-1131.540586,539.4084346,-948.0841785,144.0749363,-750.3640315,236.0230724,57,31
2/9/2024,-1287.687626,215.485261,428.9346084,1548.428242,1442.831263,8.532718393,0,87
2/9/2024,660.3326099,169.349743,-2051.977779,347.738768,-561.8311091,-1367.864664,0,88
2/9/2024,-356.0544623,-1142.75975,1086.450843,511.4247367,-968.7359569,796.9043017,1,84
2/9/2024,-106.1242336,-534.6939997,969.0095826,1510.370447,-994.2734196,820.7461243,2,80
2/9/2024,1436.778579,10.29776026,220.5419968,-959.9535659,-1095.888997,-125.2168668,2,74
2/9/2024,-870.8591822,-217.668212,-1276.923547,-181.4334807,-1131.701695,-39.24724484,61,28
2/9/2024,868.603217,-880.250697,-1119.770442,-703.1910047,-267.8985024,514.8704137,5,75
2/9/2024,1096.83885,282.2547375,152.0614933,-504.8382198,893.5130881,-844.251335,21,54
2/9/2024,634.7051637,-172.6300822,589.2130163,-223.3730416,596.0343057,-139.0567196,68,26
2/9/2024,644.9461335,-454.8261285,-1154.780032,648.9990419,377.7379939,-296.3940936,9,55
2/9/2024,685.3272064,662.9227842,195.9893868,559.1884138,275.7462481,892.6021718,52,31
2/9/2024,815.3203995,-733.1920791,729.0203748,-701.8591247,744.4831377,-819.4813404,67,25
2/9/2024,-2366.970291,-134.1751388,85.34245869,233.3672892,-800.9065846,-1583.358388,1,87
2/9/2024,-857.1128071,281.0077327,-1446.75338,-966.2803394,-24.8767403,-878.3968851,11,64
2/9/2024,-1870.440201,238.3416076,598.4402048,-486.1698893,376.6431976,779.3623614,1,81
2/9/2024,-183.7633331,-155.0145031,747.4040799,1038.343998,-1165.767583,1173.761184,5,71
2/9/2024,-554.8832193,618.9132885,770.486521,-293.0664246,59.94418505,-846.7772361,12,64
2/9/2024,-170,-950,-144.6861503,-1070.968574,-122.3732125,-1000.334352,69,26
2/9/2024,-2145.959718,-767.0871333,-762.8968594,363.1328005,-743.6729237,-767.297991,11,66
2/9/2024,574.2354522,835.1780156,119.2751076,-189.9297995,-925.2805235,779.8264599,12,61
2/9/2024,-1524.267287,17.88591428,-395.1695753,759.1835433,615.406389,302.7341905,8,65
2/9/2024,782.3132453,30.09578492,-653.3483509,1457.58698,-236.3351986,-400.08484,5,68
2/9/2024,919.5994649,-707.2558885,640.4901301,-628.1140156,682.7542769,-457.6547199,64,26
2/9/2024,-1800.528243,-131.5196958,15.80979421,106.2819492,-7.911822485,-233.6194599,13,59
2/9/2024,-599.5583356,805.5050019,-1271.260465,-1021.313809,659.7190019,-656.2334263,3,80
